"Area","ISOCode","year","hdi"
"Switzerland",756,"2050",0.785301615
"Syrian Arab Republic",760,"2050",0.601968039
"Tajikistan",762,"2050",0.67461046
"Thailand",764,"2050",0.673815747
"The former Yugoslav Republic of Macedonia",807,"2050",0.699884541
"Timor-Leste",626,"2050",0.617937315
"Togo",768,"2050",0.426238117
"Tonga",776,"2050",0.676656877
"Trinidad and Tobago",780,"2050",0.686854822
"Tunisia",788,"2050",0.675940897
"Turkey",792,"2050",0.671762648
"Turkmenistan",795,"2050",0.668198251
"Uganda",800,"2050",0.493963303
"Ukraine",804,"2050",0.676194934
"United Kingdom of Great Britain and Northern Ireland",826,"2050",0.79018017
"United Republic of Tanzania",834,"2050",0.505775481
"United States of America",840,"2050",0.759852514
"Uruguay",858,"2050",0.673667708
"Vanuatu",548,"2050",0.628987668
"Venezuela (Bolivarian Republic of)",862,"2050",0.676959107
"Viet Nam",704,"2050",0.635296014
"Yemen",887,"2050",0.525138311
"Zambia",894,"2050",0.5372283
"Zimbabwe",716,"2050",0.477001797
